epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1457.4,0.62256,0.08757,0.11563,0.3899,0.8672,0.99917,1,0.995,0.83765,0.99917,1,0.995,0.99224,0.62458,0.05864,0.00882,0.37271,0.86989,0.001307,0.001307,0.001307
72,1477.5,0.60045,0.09028,0.08657,0.37107,0.86526,0.99917,1,0.995,0.81496,0.99917,1,0.995,0.99332,0.62093,0.0514,0.00873,0.35087,0.8807,0.0012971,0.0012971,0.0012971
73,1498.12,0.60105,0.0999,0.11776,0.36681,0.87546,0.99916,1,0.995,0.8048,0.99916,1,0.995,0.99332,0.63011,0.04795,0.00893,0.34527,0.88106,0.0012872,0.0012872,0.0012872
74,1518.48,0.60833,0.12389,0.10494,0.36599,0.87348,0.99915,1,0.995,0.83419,0.99915,1,0.995,0.995,0.63379,0.04913,0.00919,0.34316,0.86483,0.0012773,0.0012773,0.0012773
75,1539.27,0.61028,0.10921,0.12464,0.3694,0.85745,0.99918,1,0.995,0.83962,0.99918,1,0.995,0.995,0.61597,0.05085,0.00907,0.33643,0.85917,0.0012674,0.0012674,0.0012674
76,1559.71,0.55613,0.09405,0.1014,0.34631,0.84811,0.98568,0.98649,0.97973,0.84939,0.99918,1,0.995,0.995,0.57169,0.05145,0.00927,0.3282,0.86712,0.0012575,0.0012575,0.0012575
77,1580.39,0.58059,0.08811,0.10843,0.35073,0.85738,0.9857,0.98649,0.98027,0.84146,0.9992,1,0.995,0.995,0.58614,0.04939,0.00923,0.33052,0.87186,0.0012476,0.0012476,0.0012476
78,1601.09,0.56858,0.09546,0.09928,0.3613,0.85324,0.9857,0.98649,0.98027,0.84146,0.9992,1,0.995,0.995,0.58614,0.04939,0.00923,0.33052,0.87186,0.0012377,0.0012377,0.0012377
79,1621.54,0.51947,0.08284,0.08771,0.34694,0.835,0.99919,1,0.995,0.85425,0.99919,1,0.995,0.995,0.57044,0.04734,0.00911,0.32974,0.85341,0.0012278,0.0012278,0.0012278
80,1642.21,0.50492,0.07674,0.09532,0.33668,0.84134,0.99921,1,0.995,0.85605,0.99921,1,0.995,0.995,0.55799,0.04069,0.00914,0.32935,0.85372,0.0012179,0.0012179,0.0012179
81,1662.81,0.51916,0.09825,0.11674,0.33754,0.84779,0.99924,1,0.995,0.86126,0.99924,1,0.995,0.995,0.55681,0.03879,0.00938,0.32057,0.86348,0.001208,0.001208,0.001208
82,1683.93,0.51825,0.10451,0.08748,0.33107,0.85306,0.99925,1,0.995,0.86388,0.99925,1,0.995,0.995,0.54307,0.04069,0.00931,0.31133,0.86188,0.0011981,0.0011981,0.0011981
83,1704.82,0.50419,0.10727,0.09122,0.3296,0.83575,0.99923,1,0.995,0.87284,0.99923,1,0.995,0.995,0.53771,0.03964,0.00915,0.31397,0.85002,0.0011882,0.0011882,0.0011882
84,1725.52,0.51301,0.06707,0.11014,0.32935,0.84723,0.99921,1,0.995,0.87392,0.99921,1,0.995,0.995,0.5107,0.0417,0.00899,0.31214,0.84472,0.0011783,0.0011783,0.0011783
85,1746.39,0.48738,0.06659,0.09655,0.33128,0.8501,0.99921,1,0.995,0.86708,0.99921,1,0.995,0.995,0.53319,0.04101,0.00841,0.30649,0.85894,0.0011684,0.0011684,0.0011684
86,1767.59,0.49238,0.09108,0.10307,0.32075,0.82617,0.99921,1,0.995,0.86708,0.99921,1,0.995,0.995,0.53319,0.04101,0.00841,0.30649,0.85894,0.0011585,0.0011585,0.0011585
87,1788.67,0.53499,0.06639,0.12054,0.34806,0.86076,0.99921,1,0.995,0.85333,0.99921,1,0.995,0.995,0.55174,0.04027,0.00788,0.30718,0.86302,0.0011486,0.0011486,0.0011486
